,vid,title,time,realLikeCount,duration,auth,totcomment,comtext,comrealLikedCount,comauth
55,3x6mqh9zxijriq9,女子醉酒把酒瓶当手机，喝醉不可怕，可怕的是有人帮你回忆。#神操作  #醉酒  ,2021-12-28 10:11:21,16915,8266.00,河南乡村频道,1150,@＠FY祺(O3xcbi27fdawvhqq),0,🟢
56,3x6mqh9zxijriq9,女子醉酒把酒瓶当手机，喝醉不可怕，可怕的是有人帮你回忆。#神操作  #醉酒  ,2021-12-28 10:11:21,16915,8266.00,河南乡村频道,1150,@孫什么涵(O3xcvi45p2gx9fuk) @卓什么阳……(O3xmii7fuce9ishi) 笑死我了,0,Aaa陳欣悦.
57,3x6mqh9zxijriq9,女子醉酒把酒瓶当手机，喝醉不可怕，可怕的是有人帮你回忆。#神操作  #醉酒  ,2021-12-28 10:11:21,16915,8266.00,河南乡村频道,1150,@郭思涵(O3xv32jmruqcsy5c),1,Oo。.●
58,3x6mqh9zxijriq9,女子醉酒把酒瓶当手机，喝醉不可怕，可怕的是有人帮你回忆。#神操作  #醉酒  ,2021-12-28 10:11:21,16915,8266.00,河南乡村频道,1150,@落日余暉^(O3xsv93qdr3dvqiq),0,港口旧爱
59,3x6mqh9zxijriq9,女子醉酒把酒瓶当手机，喝醉不可怕，可怕的是有人帮你回忆。#神操作  #醉酒  ,2021-12-28 10:11:21,16915,8266.00,河南乡村频道,1150,@淋淋哟🍒(O3x2wsd4v46g2r5s),0,小熊Nico
60,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,酸奶是什么牌子的酸奶[呆住],1,🍒 花蕊
61,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,渝儿龙须糖教程有吗？,0,潇潇残蕊
62,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[赞][赞],0,🌴忆☆梦
63,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[赞],0,傲娇的姑娘不是我
64,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[赞][赞],0,虹虹
65,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,好吃,0,小陈陈7900
66,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[赞],0,封文鑫
67,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[色],0,君儿1228
